Wall time,Step,Value
1495412956.2269,232499,-0.33000001311302185
1495412956.808799,232599,0.699999988079071
1495412958.01372,232799,-0.25
1495412965.134037,233999,-0.28999999165534973
1495412965.749593,234099,-0.33000001311302185
1495412966.351337,234199,-0.3199999928474426
1495412966.922729,234299,0.7900000214576721
1495412971.557315,235099,-0.05000000074505806
1495412977.018146,235999,1.0
1495412987.507225,237699,-0.20999999344348907
1495412995.806389,239099,-0.38999998569488525
1495412998.146959,239499,-0.2800000011920929
1495412998.715536,239599,0.8399999737739563
1495412999.877988,239799,-0.27000001072883606
1495413004.611966,240599,0.9800000190734863
1495413005.749922,240799,0.49000000953674316
1495413008.289142,241199,-0.38999998569488525
1495413014.374442,242199,-0.3199999928474426
1495413019.118164,242999,-0.3400000035762787
1495413019.694271,243099,-0.17000000178813934
1495413026.461696,244199,-0.2800000011920929
1495413031.983274,244999,-0.3199999928474426
1495413035.90404,245599,-0.28999999165534973
1495413036.483646,245699,1.0
1495413037.854446,245899,0.7200000286102295
1495413039.343877,246099,-0.38999998569488525
1495413042.673323,246599,-0.18000000715255737
1495413054.672955,248499,-0.2800000011920929
1495413058.472529,249099,-0.30000001192092896
1495413059.135224,249199,0.7900000214576721
1495413065.799154,250199,0.47999998927116394
1495413067.252354,250399,-0.14000000059604645
1495413069.252434,250699,0.800000011920929
1495413069.890738,250799,-0.15000000596046448
1495413070.559786,250899,-0.28999999165534973
1495413077.816305,251999,-0.3499999940395355
1495413079.558551,252299,-0.3499999940395355
1495413083.143706,252899,-0.46000000834465027
1495413086.053529,253399,-0.23999999463558197
1495413087.244025,253599,-0.5199999809265137
1495413088.452895,253799,-0.11999999731779099
1495413089.635882,253999,-0.3400000035762787
1495413095.038433,254899,-1.399999976158142
1495413097.83162,255299,-0.3199999928474426
1495413100.92751,255699,-0.2800000011920929
1495413102.418474,255899,-0.47999998927116394
1495413104.26912,256199,-0.3700000047683716
1495413109.801568,257099,-0.44999998807907104
1495413110.48563,257199,1.0
1495413112.951662,257599,-0.2800000011920929
1495413117.175849,258199,-0.3799999952316284
1495413118.442671,258399,-0.36000001430511475
1495413125.896929,259599,1.0
1495413126.485271,259699,-0.3499999940395355
1495413127.144629,259799,0.8199999928474426
1495413127.781905,259899,-0.3400000035762787
1495413129.564105,260199,0.800000011920929
1495413131.980422,260599,-0.3499999940395355
1495413135.676218,261199,-1.2999999523162842
1495413136.315101,261299,0.6299999952316284
1495413138.097127,261599,-0.36000001430511475
1495413142.879769,262399,-0.1899999976158142
1495413145.918706,262899,-0.3100000023841858
1495413147.733959,263199,-0.20000000298023224
1495413149.542311,263499,-0.4699999988079071
1495413150.161159,263599,-1.309999942779541
1495413153.822443,264199,-0.4300000071525574
1495413155.119592,264399,-0.4000000059604645
1495413158.91956,264999,-0.3199999928474426
1495413160.711797,265299,-0.30000001192092896
1495413162.575371,265599,-0.4000000059604645
1495413163.163467,265699,0.6000000238418579
1495413165.508582,266099,-0.28999999165534973
1495413177.081162,267999,-0.25999999046325684
1495413179.537115,268399,-0.33000001311302185
1495413180.85449,268599,0.8600000143051147
1495413184.64441,269099,-0.3799999952316284
1495413187.77282,269599,1.0
1495413195.459128,270899,0.7900000214576721
1495413197.824126,271299,-0.3400000035762787
1495413199.559855,271599,0.6800000071525574
1495413208.422106,273099,-0.36000001430511475
1495413214.964492,274199,-0.20000000298023224
1495413215.537916,274299,-0.3100000023841858
1495413217.299671,274599,-0.3799999952316284
1495413220.981935,275199,-0.3100000023841858
1495413225.667248,275899,-0.27000001072883606
1495413226.382715,275999,-0.4399999976158142
1495413227.044548,276099,-0.30000001192092896
1495413227.673694,276199,0.9700000286102295
1495413228.251162,276299,-0.5099999904632568
1495413228.841454,276399,-0.3100000023841858
1495413234.411606,277199,-0.6100000143051147
1495413251.944957,279499,-0.25999999046325684
1495413252.570222,279599,0.8299999833106995
1495413253.203966,279699,-0.3700000047683716
1495413259.026825,280399,0.6200000047683716
1495413269.445224,281499,0.7599999904632568
1495413271.304455,281699,-0.4699999988079071
1495413279.053301,282899,-0.1599999964237213
1495413279.69033,282999,-0.49000000953674316
1495413281.506901,283299,0.699999988079071
1495413282.753983,283499,-0.5699999928474426
1495413283.32315,283599,-0.4000000059604645
1495413284.625852,283799,-1.5
1495413296.258761,285699,-0.2199999988079071
1495413299.411072,286199,0.5
1495413301.230879,286499,-0.3400000035762787
1495413302.968076,286799,-0.2800000011920929
1495413308.401751,287699,-0.41999998688697815
1495413309.073324,287799,0.8500000238418579
1495413312.64817,288399,0.5699999928474426
1495413313.794826,288599,-0.10000000149011612
1495413314.373726,288699,-0.5
1495413317.842626,289299,-0.6000000238418579
1495413319.645249,289599,-0.30000001192092896
1495413323.201225,290199,-0.3400000035762787
1495413324.382602,290399,-0.3100000023841858
1495413325.589517,290599,-1.4199999570846558
1495413327.37039,290899,-0.36000001430511475
1495413332.619085,291799,-0.5099999904632568
1495413335.789842,292299,-0.3799999952316284
1495413336.989672,292499,-0.36000001430511475
1495413337.582157,292599,0.5799999833106995
1495413338.266132,292699,-0.27000001072883606
1495413344.647457,293799,-0.4399999976158142
1495413350.54045,294799,-0.3700000047683716
1495413355.417174,295599,-0.10000000149011612
1495413366.032927,297299,-0.23000000417232513
1495413370.154538,297999,-0.4099999964237213
1495413370.726356,298099,-0.3199999928474426
1495413372.489522,298399,-0.2800000011920929
1495413378.492879,299399,0.6299999952316284
1495413382.00532,299999,0.7599999904632568
1495413384.361283,300399,-0.25999999046325684
1495413387.364393,300899,-0.28999999165534973
1495413388.55922,301099,0.8600000143051147
1495413389.793116,301299,-0.2199999988079071
1495413390.969339,301499,-0.3700000047683716
1495413392.150851,301699,-0.2800000011920929
1495413394.504959,302099,-0.38999998569488525
1495413395.088202,302199,-0.20999999344348907
1495413396.952883,302499,-0.07999999821186066
1495413400.477612,303099,-0.28999999165534973
1495413401.687282,303299,1.0
1495413403.525813,303599,1.0
1495413408.296131,304399,-0.5400000214576721
1495413409.475628,304599,-0.4300000071525574
1495413410.382515,304699,-0.30000001192092896
1495413411.173967,304799,0.699999988079071
1495413416.320522,305599,0.949999988079071
1495413425.315708,307099,-0.30000001192092896
1495413426.487914,307299,-0.3100000023841858
1495413427.665781,307499,-0.36000001430511475
1495413428.844121,307699,-0.2199999988079071
1495413430.024741,307899,-0.28999999165534973
1495413435.299281,308799,-0.20999999344348907
1495413437.643585,309199,-0.3499999940395355
1495413445.259379,310499,-0.25999999046325684
1495413447.600556,310899,-0.1599999964237213
1495413458.932506,312799,-0.18000000715255737
1495413467.829212,314299,0.550000011920929
1495413468.451311,314399,-0.15000000596046448
